smart_lights_name, smart_lights_price 
"Introducing Ring A19 Smart LED Bulb, White (Ring Bridge required)", $14.00 
Echo (3rd Gen) - Smart speaker with Alexa - Twilight Blue, $99.00 
"C by GE A19 Smart Light Bulb - Soft White Light Bulb, 2-Pack, Works with Amazon Alexa and Google Home, Bluetooth Light Bulb", $24.00 
"Sengled Smart LED Multicolor A19 Starter Kit, 60W Equivalent, 2 Smart Light Bulbs & Hub, RGBW Color and Tunable White 2000-6500K, Works with Alexa & Google Assistant", $59.00 
"Smart LED Light Bulb 2.4G(Not 5G) E26 WiFi Multicolor Light Bulb Work with Alexa,Siri, Echo, Google Home (No Hub Required), A19 60W Equivalent RGB Color Changing Bulb (4 Pack)", $37.00 
"Govee Smart WiFi LED Strip Lights Works with Alexa, Google Home Brighter 5050 LED, 16 Million Colors Phone App Controlled Music Light Strip for Home, Kitchen, TV, Party, for iOS and Android, 16.4ft", $33.00 
"Philips Hue White 4-Pack A19 LED Smart Bulb, Bluetooth & Zigbee compatible (Hue Hub Optional), Works with Alexa & Google Assistant – A Certified for Humans Device", $49.00 
"Smart LED Light Bulb 2.4G(Not 5G) E26 WiFi Multicolor Light Bulb Work with Siri,Alexa, Echo, Google Home (No Hub Required), Peteme A19 60W Equivalent RGB Color Changing Bulb (2 Pack)", $20.00 
"Smart WiFi Light Bulb, LED RGB Color Changing, Compatible with Alexa and Google Home Assistant, No Hub Required, A19 E26 Multicolor LUMIMAN 2 Pack", $22.00 
"BERENNIS Smart Light Bulb, A19 E26 RGBCW WiFi Dimmable Multicolor LED Lights, Compatible with Alexa, Google Home and IFTTT (No Hub Required) 7W (60w Equivalent) 3 Pack", $29.00 
"Smart WiFi Alexa Light Bulbs 2.4G, SAUDIO LED RGB Color Changing Bulbs, Compatible with Siri,Alexa,IFTTT and Google Home Assistant, No Hub Required, A19 E26 Multicolor 4 Pack", $37.00 
"Taloya Smart Ceiling Light Flush Mount LED WiFi, Compatible with Alexa Google Home, Dimmable Low Profile Ambient Light Fixture for Bedroom Living Room,12 Inch 24W", $89.00 
"LED Strip Lights, L8star Led Lights Smart Color Changing Rope Lights 32.8ft/10M SMD 5050 RGB Light Strips with Bluetooth Controller Sync to Music Apply for TV, Bedroom and Home Decoration (32.8ft)", $43.00 
"Wyze Bulb 800 Lumen A19 LED Smart Home Light Bulb, Adjustable white temperature and brightness, works with Alexa and the Google Assistant, No Hub Required, 4-Pack", $39.00 
"Philips Hue Play White & Color Smart Light, 2 Pack Base kit, Hub Required/Power Supply Included (Works with Amazon Alexa, Apple Homekit & Google Home)", $129.00 
"Single Pole Treatlife Smart Light Switch (Neutral Wire Required), 2.4Ghz Wi-Fi Light Switch, Works with Alexa and Google Assistant, Schedule, Remote Control, Single Pole, ETL Listed (4 Pack)", $49.00 
"Smart Light Bulbs, Aoycocr BR30 Dimmable LED Light Bulbs, 720 Lumen, Tunable White 2700K - 9000K,9 (80W Equivalent) No Hub Required, Wi-Fi, E26 Base (4 Pack)", $49.00 
AMBOTHER RGB LED Strip Lights 32.8ft WiFi LED Light Strips Works with Alexa Google Assistant Remote APP Waterproof Dimmable Color Changing Flexible Rope Lights Sync with Music for Bedroom Home Kitchen, $37.00 
"Gosund Smart Light Switch, in-Wall WiFi Smart Switch That Works with Alexa and Google Home, No Hub Required, Neutral Wire Needed, Single-Pole 15A, ETL and FCC Listed,4 Pack White", $48.00 
